OCTUBRE 23 / 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avellaneda,,,Tablada,,,San Martín,,,Varela,,,San Justo,,,%,ESTIMADO,,,,,,,,,,,,,,,,,
,23´,24´,%,23´,24´,%,23´,24´,,23´,24´,,23´,24´,,,MENSUAL,,,,,,,,,,,,,,,,,
1,413661,286694,0.69,200611,240491,1.20,284127,198796,0.70,89641,209443,2.34,37699,72600,1.93,,,,,,,,,,,,,,,,,,,
2,149180,572129,1.53,107146,255992,1.61,63844,290694,1.41,93141,477278,3.76,14500,220084,5.61,,,,,Avellaneda,,,Tablada,,,San Martín,,,Varela,,,San Justo,,
3,160393,261422,1.55,83048,196596,1.77,131742,324894,1.70,164943,112544,2.30,93144,165191,3.15,,,,,23´,24´,%,23´,24´,%,23´,24´,,23´,24´,,23´,24´,
4,165744,576596,1.91,137644,356591,1.99,89448,241465,1.86,45597,191524,2.52,79495,290490,3.33,,,,,615640,1292158,2.10,596610,1245113,2.09,535619,677496,1.26,291184,371790,1.28,176791,591962,3.35
5,288390,1264669,2.52,142142,741185,2.67,122046,682877,2.52,136584,541779,2.89,21783,290843,4.21,,,,,1338849,2958752,2.17,1058287,1867268,1.88,626187,1483839,1.86,301759,773225,1.93,301759,1287398,3.93
6,302429,900458,2.61,257587,432502,2.40,78495,588883,3.02,104391,416181,3.07,82600,292286,4.04,,,,,555145,1425855,2.26,545063,1223219,1.97,238132,702179,2.05,381789,366178,1.55,381789,405284,2.66
7,522948,381086,2.12,444828,156796,1.73,433920,166099,2.07,224784,103695,2.39,172155,171998,3.00,2.13,"$65,785,564",,,2509634,5676765,,2199960,4335600,,1399938,2863514,,974732,1511193,,860339,2284644,
8,556277,431494,1.83,168987,272894,1.72,251439,292483,1.91,296266,202443,1.95,82095,155625,2.84,,,,,,,,,,,,,,,,,,,
9,152645,521482,1.92,195290,171799,1.63,112544,237889,1.93,108672,156495,1.91,66300,125397,2.75,,,,,,,,,,,,,,,,,,,
10,217630,548892,1.96,170301,224792,1.60,109796,225696,1.94,81640,328487,2.04,61600,321692,2.96,,,,,Avellaneda,,,Tablada,,,San Martín,,,Varela,,,San Justo,,
11,274537,981014,2.10,114892,548679,1.78,110678,429580,2.06,56770,331191,2.19,85346,112196,2.78,,,,,23´,24´,%,23´,24´,%,23´,24´,,23´,24´,,23´,24´,
12,248009,1176272,2.29,173547,702724,1.96,298795,798080,2.15,104244,309255,2.24,178295,358496,2.64,,,,VIERNES,92,95,1.03,96,98,1.02,77,61,0.79,49,38,0.78,28,50,1.79
13,615640,1139574,2.22,596610,507991,1.72,535620,702985,1.98,291185,443572,2.13,176791,386396,2.57,,,,SABADO,202,239,1.14,171,144,0.91,88,110,1.04,45,72,1.17,63,110,1.76
14,1338849,437488,1.75,1058287,284096,1.32,626187,286194,1.68,301759,87596,1.86,382233,166399,2.04,1.68,"$51,735,612",,DOMINGO,88,119,1.19,98,102,0.94,35,65,1.18,66,37,0.92,40,34,1.48
15,555145,379122,1.65,545063,326392,1.23,238132,373488,1.67,381789,159697,1.64,288136,160990,1.81,,,,TOT PRENDAS,382,453,,365,344,,200,236,,160,147,,131,194,
16,374960,626889,1.65,284525,353786,1.23,117991,337337,1.71,69299,461577,1.78,144532,257185,1.80,,,,,,,,,,,,,,,,,,,
17,80647,791180,1.76,8800,511485,1.34,129593,246997,1.72,60046,259288,1.84,71398,183591,1.83,,,,,23´,V $,s,d,v P,s,d,,24',V $,s,d,v P,s,d
18,156187,1292159,1.91,81523,1243113,1.58,156445,677496,1.83,60646,371790,1.93,110747,591963,2.01,,,,,Avellaneda,615640,1338849,555145,92,202,88,,Avellaneda,1292158,2959752,1425855,95,239,119
19,235785,2959752,2.28,198442,1867268,1.89,157940,1483839,2.12,62129,773225,2.17,35199,1287398,2.57,,,,,Tablada,596610,1058287,545063,96,171,98,,Tablada,1245113,1867268,1223219,98,144,102
20,506770,1425855,2.32,173643,1223219,2.06,43399,702180,2.27,54397,366178,2.26,144340,405284,2.58,,,,,San Martín,535619,626187,238132,77,88,35,,San Martín,677496,1483839,702179,61,110,65
21,532172,316542,2.20,319982,111894,1.96,376340,329124,2.15,259279,268997,2.16,328387,189298,2.34,2.15,"$66,170,358",,,Varela,291184,301759,381789,49,45,66,,Varela,371790,773225,366178,38,72,37
22,266214,440387,2.18,162286,312789,1.96,129840,281497,2.15,39396,90698,2.16,135144,34200,2.23,,,,,San Justo,176791,382233,288135,28,63,40,,San Justo,591962,1287398,405284,50,110,34
